date,ticker,name,market,close,change_pct,volume,value_eok,ma5,ma20,ma60,ma120,rsi14,volume_ratio_20d,value_ratio_20d,gap_pct,upper_shadow_pct,close_position_pct,distance_ma20_pct,high_20d_breakout,high_60d_breakout,trend_state,candle_state,pattern,entry_risk,chart_score,comment
20260506,161580,필옵틱스,KOSDAQ,63000,29.5,4976140,3135.0,51650.0,45952.5,45422.5,45101.67,78.86,13.69,18.39,5.86,1.5,98.5,37.1,True,True,strong_uptrend,strong_close,volume_breakout,extreme,79,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 13.7배입니다. 20일선 이격 37.1%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,35320K,대덕전자1우,KOSPI,32700,24.57,180693,59.1,26970.0,22450.5,18991.67,16945.25,91.73,9.41,13.47,2.1,11.9,88.1,45.65,True,True,strong_uptrend,strong_close,volume_breakout,extreme,79,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 9.4배입니다. RSI 91.7로 추격 매수는 부담스럽습니다. 20일선 이격 45.6%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,002070,비비안,KOSPI,11850,3238.03,110676,13.1,2654.0,932.85,627.0,626.05,,0.58,18.88,3843.66,0.0,13.7,1170.3,True,True,strong_uptrend,gap_up,trend_continuation,extreme,77,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 20일선 이격 1170.3%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,003470,유안타증권,KOSPI,7830,29.85,33014902,2585.1,6020.0,5234.0,5013.75,4429.21,90.28,19.32,26.39,12.6,0.0,100.0,49.6,True,True,strong_uptrend,strong_close,volume_breakout,extreme,73,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 19.3배입니다. RSI 90.3로 추격 매수는 부담스럽습니다. 20일선 이격 49.6%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,452190,한빛레이저,KOSDAQ,10010,22.52,21624128,2164.6,8296.0,6379.75,5036.67,4940.46,80.78,3.1,4.5,5.02,28.4,71.6,56.9,True,True,strong_uptrend,normal,trend_continuation,extreme,73,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 80.8로 추격 매수는 부담스럽습니다. 20일선 이격 56.9%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,189860,서전기전,KOSDAQ,11300,26.97,8210564,927.8,8180.0,6312.5,5368.83,4395.75,91.9,9.54,16.11,8.65,8.0,92.0,79.01,True,True,strong_uptrend,strong_close,volume_breakout,extreme,73,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 9.5배입니다. RSI 91.9로 추격 매수는 부담스럽습니다. 20일선 이격 79.0%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,396470,워트,KOSDAQ,10590,29.94,2372332,251.2,8484.0,7740.5,7274.5,7210.5,92.59,14.52,19.92,11.04,0.0,100.0,36.81,True,True,strong_uptrend,strong_close,volume_breakout,extreme,73,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 14.5배입니다. RSI 92.6로 추격 매수는 부담스럽습니다. 20일선 이격 36.8%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,011790,SKC,KOSPI,161200,30.0,2481911,4000.8,130120.0,112185.0,102075.5,102990.97,79.11,4.78,6.61,12.9,0.0,100.0,43.69,True,True,uptrend,strong_close,trend_continuation,extreme,69,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 20일선 이격 43.7%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,336260,두산퓨얼셀,KOSPI,78300,29.21,4923975,3855.5,62180.0,47720.0,41580.0,37177.92,90.28,4.43,7.2,-0.99,1.0,99.0,64.08,True,True,strong_uptrend,strong_close,trend_continuation,extreme,69,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 90.3로 추격 매수는 부담스럽습니다. 20일선 이격 64.1%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,024840,KBI메탈,KOSDAQ,8610,29.86,16035347,1380.6,5457.0,3343.25,2514.77,2127.22,94.99,2.23,5.28,29.86,0.0,100.0,157.53,True,True,strong_uptrend,strong_close,trend_continuation,extreme,69,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 95.0로 추격 매수는 부담스럽습니다. 20일선 이격 157.5%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,000500,가온전선,KOSPI,367000,27.21,272141,998.8,266200.0,174530.0,124936.67,103367.5,96.28,2.19,4.42,3.12,9.8,90.2,110.28,True,True,strong_uptrend,strong_close,trend_continuation,extreme,69,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 96.3로 추격 매수는 부담스럽습니다. 20일선 이격 110.3%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,078150,HB테크놀러지,KOSDAQ,4020,29.89,20680101,831.3,3140.0,2681.0,2311.12,2140.44,85.36,4.06,6.05,4.52,0.0,100.0,49.94,True,True,strong_uptrend,strong_close,trend_continuation,extreme,69,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 85.4로 추격 매수는 부담스럽습니다. 20일선 이격 49.9%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,076610,해성옵틱스,KOSDAQ,2450,29.97,24501602,600.3,1800.4,1562.25,1384.2,1066.09,91.68,4.83,7.19,1.96,0.0,100.0,56.83,True,True,strong_uptrend,strong_close,trend_continuation,extreme,69,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. RSI 91.7로 추격 매수는 부담스럽습니다. 20일선 이격 56.8%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
